yr,mon,revenue,orders
2003,January,129753.60,5
2003,February,140836.19,3
2003,March,174504.90,6
2003,April,201609.55,7
2003,May,192673.11,6
2003,June,168082.56,6
2003,July,187731.88,6
2003,August,197809.30,5
2003,September,263973.36,8
2003,October,568290.97,17
2003,November,1029837.66,28
2003,December,261876.46,7
2004,January,316577.42,8
2004,February,311419.53,10
2004,March,205733.73,7
2004,April,206148.12,10
2004,May,273438.39,8
2004,June,286674.22,10
2004,July,327144.09,10
2004,August,461501.27,12
2004,September,320750.91,12
2004,October,552924.25,13
2004,November,1089048.01,33
2004,December,372802.66,11
2005,January,339543.42,12
2005,February,358186.18,12
2005,March,374262.76,12
2005,April,261633.29,9
2005,May,457861.06,14
